R,B,beta_n
8.7866312,3.8459808,1.9000000
8.4717395,3.9423446,1.9100000
8.1696896,4.0406006,1.9200000
7.8798950,4.1407760,1.9300000
7.6017986,4.2428978,1.9400000
7.3348716,4.3469938,1.9500000
7.0786116,4.4530914,1.9600000
6.8325409,4.5612189,1.9700000
6.5962059,4.6714043,1.9800000
6.3691751,4.7836763,1.9900000
6.1510381,4.8980634,2.0000000
5.9414046,5.0145947,2.0100000
5.7399034,5.1332993,2.0200000
5.5461809,5.2542069,2.0300000
5.3599007,5.3773470,2.0400000
5.1807426,5.5027498,2.0500000
5.0084015,5.6304453,2.0600000
4.8425868,5.7604641,2.0700000
4.6830215,5.8928370,2.0800000
4.5294418,6.0275949,2.0900000
4.3815961,6.1647690,2.1000000


