R,B,tau,T,beta_n
1.0983799e+01,3.2531903e+00,7.3895876e+00,1.0317075e+01,1.9000000e+00
1.0590166e+01,3.3347013e+00,6.9959307e+00,1.0250240e+01,1.9100000e+00
1.0212586e+01,3.4178129e+00,6.6251382e+00,1.0184183e+01,1.9200000e+00
9.8503262e+00,3.5025480e+00,6.2757733e+00,1.0118892e+01,1.9300000e+00
9.5026896e+00,3.5889296e+00,5.9464962e+00,1.0054354e+01,1.9400000e+00
9.1690154e+00,3.6769809e+00,5.6360570e+00,9.9905556e+00,1.9500000e+00
8.8486754e+00,3.7667255e+00,5.3432897e+00,9.9274855e+00,1.9600000e+00
8.5410729e+00,3.8581870e+00,5.0671057e+00,9.8651315e+00,1.9700000e+00
8.2456404e+00,3.9513893e+00,4.8064886e+00,9.8034819e+00,1.9800000e+00
7.9618387e+00,4.0463565e+00,4.5604887e+00,9.7425253e+00,1.9900000e+00
7.6891547e+00,4.1431128e+00,4.3282190e+00,9.6822503e+00,2.0000000e+00
7.4271007e+00,4.2416829e+00,4.1088501e+00,9.6226462e+00,2.0100000e+00
7.1752124e+00,4.3420913e+00,3.9016066e+00,9.5637020e+00,2.0200000e+00
6.9330481e+00,4.4443631e+00,3.7057630e+00,9.5054073e+00,2.0300000e+00
6.7001871e+00,4.5485233e+00,3.5206408e+00,9.4477518e+00,2.0400000e+00
6.4762291e+00,4.6545974e+00,3.3456048e+00,9.3907254e+00,2.0500000e+00
6.2607927e+00,4.7626110e+00,3.1800600e+00,9.3343182e+00,2.0600000e+00
6.0535146e+00,4.8725897e+00,3.0234495e+00,9.2785205e+00,2.0700000e+00
5.8540488e+00,4.9845596e+00,2.8752515e+00,9.2233229e+00,2.0800000e+00
5.6620652e+00,5.0985469e+00,2.7349767e+00,9.1687160e+00,2.0900000e+00
5.4772495e+00,5.2145780e+00,2.6021667e+00,9.1146907e+00,2.1000000e+00
