Fecha,COY,MER,PED,SAG,TLA,UIZ,XAL
06/01/2015,2.1,2.4,2,1.4,3.4,2.2,4
12/01/2015,3.2,4.2,2.3,2.9,3.5,3.1,7.4
18/01/2015,1.4,,1.4,1.4,1.8,,2.6
24/01/2015,2.1,4,,3.2,3.2,3.5,6.3
30/01/2015,3.2,2.8,1.8,2.9,3,,5
05/02/2015,2.3,,1.5,1.9,2.4,2,3.9
11/02/2015,2.6,4.3,2.1,,3.3,,7.5
17/02/2015,1.7,2.5,1.3,2.2,2.5,2.1,
23/02/2015,1.7,2.3,1.4,2.3,,2.3,6.9
01/03/2015,1.8,2,,2.4,2,1.8,3.4
07/03/2015,1.7,2.5,1.9,1.9,,1.6,4
13/03/2015,0.5,,0.4,1.3,2.5,0.7,3.4
19/03/2015,1.8,2.6,1.6,,2.6,2,3
25/03/2015,1.4,2.4,1,1.9,2.9,1.8,
31/03/2015,1.7,3.1,1,2.7,,2.5,6.1
06/04/2015,1.9,,1.5,2.2,,2.2,4.7
12/04/2015,,2,1,1.8,1.9,1.8,2.9
18/04/2015,2.6,4.8,,3.1,4.1,4.4,5.7
24/04/2015,1.5,2.1,1.2,2.5,3.1,,4.7
30/04/2015,,2.2,1.6,1.4,2.6,,4.5
06/05/2015,,,1.6,3.2,4.5,2,6.8
12/05/2015,1.7,2.1,1.4,,2.4,1.6,3.6
18/05/2015,,2.2,1.6,2,2.5,1.8,
24/05/2015,1,1.9,1,1.2,,1.2,2.4
30/05/2015,2,2.6,,1.7,2.3,2.1,3.7
05/06/2015,2.2,3.2,1.8,1.4,3.8,,3.6
11/06/2015,2.3,3.2,1.7,2.1,3.3,,4.3
17/06/2015,2.1,,1.7,2,2.8,2.5,4.6
23/06/2015,1.3,1.7,,1.3,2.1,1.6,
29/06/2015,2.2,3.2,2.6,2.1,,2.6,5.3
05/07/2015,0.8,1.1,0.7,,1.2,0.7,1.9
11/07/2015,0.7,1.1,0.6,0.4,0.9,1.2,1.3
17/07/2015,,2,1.4,1.7,2,1.8,3.4
23/07/2015,2.5,3,,2.4,3,2.4,
29/07/2015,1.5,2.2,1.3,1.3,1.9,,2.8
04/08/2015,1.9,,1.5,,2,2.3,4.3
10/08/2015,0.9,1.8,0.7,,1.7,1.3,3.3
16/08/2015,,1,0.6,,0.7,0.8,
22/08/2015,1.8,1.9,1.5,1.6,,1.9,2.7
28/08/2015,0.9,1.5,,0.5,1.1,1,1.3
03/09/2015,3.2,3.6,2.4,1.9,2.5,,4.5
09/09/2015,2.2,,2.2,2.4,3.8,2.1,5
15/09/2015,2.2,2.4,2,,2.2,2.5,3.9
21/09/2015,1.3,1.9,1.5,1,1.8,1.2,
27/09/2015,1,1.5,0.8,1,,1.4,1.7
03/10/2015,2.1,3.7,,2.3,3.3,2.3,4.9
09/10/2015,2.4,4.5,2.2,3,3.7,2.7,5.1
15/10/2015,1.1,1.4,0.8,,1.3,0.9,1.6
21/10/2015,2.5,4.1,2,2.4,3.2,3.7,
27/10/2015,2.2,4.6,2.3,2.2,5.5,,5.9
02/11/2015,1.1,,0.7,1.2,1.7,1.3,2.6
08/11/2015,0.6,1,0.5,,0.8,0.6,0.7
14/11/2015,0.8,1.4,0.6,0.5,1,0.7,
20/11/2015,2.6,2.8,2.3,2,,2.6,4.2
26/11/2015,3,4.4,,3.5,4.9,3.9,7
02/12/2015,3.1,6.4,3,4.3,5.8,,8.9
08/12/2015,2.8,,2.3,2.6,4.2,3.2,5.2
14/12/2015,2.3,3.6,2.1,,4.1,2,6.2
20/12/2015,2.8,4.3,2.6,2.6,,2.5,4.8
26/12/2015,2.2,,1.7,3.4,,2.6,4.4
01/01/2016,8.3,9.9,7.4,8.5,9.9,10,
07/01/2016,0.8,2.8,0.6,1.3,1.1,1,4.7
13/01/2016,1.3,2.1,1.6,1.4,2.8,1.2,3.4
19/01/2016,3.3,3.4,2.5,2.4,4.1,3.7,4.8
25/01/2016,3.2,3.9,2.6,4.1,6.1,2.7,9.7
31/01/2016,2.3,2.8,1.8,1.9,2.9,1.8,3.7
06/02/2016,2.9,5.7,1.5,4.1,3.7,5,8.2
12/02/2016,,3.5,1.1,2.2,2.6,2.3,4.2
18/02/2016,3.2,3.8,2.7,2.4,3.6,3.4,6.2
24/02/2016,1.9,3,1.6,3.3,4.1,3.2,6.6
01/03/2016,5.2,6.3,4.4,5.3,7.3,5.9,9.9
07/03/2016,2.1,2.2,1.5,,4.5,1.4,5.6
13/03/2016,3.1,5.8,2.7,4.7,4.2,3,8.4
19/03/2016,0.9,1.2,0.6,3.4,1.8,0.9,3.4
25/03/2016,1.1,1.6,0.4,1.2,,1.2,1.6
31/03/2016,2,3.1,1.8,2.1,4,2.5,6.1
06/04/2016,2,3,2.2,,4.3,2.9,4.9
12/04/2016,2.3,2.9,1.6,3.8,3.8,2.6,5.8
18/04/2016,,3.4,1.8,3.1,3.8,3.1,5.7
24/04/2016,1.2,2.2,0.7,2,1.2,1,2
30/04/2016,2.9,3.9,,2.8,3.2,2.1,6.8
06/05/2016,2.4,2.6,2.8,2.2,3.2,2.5,4.3
12/05/2016,1.7,2.3,1.6,1.8,2.5,2.1,
18/05/2016,,5.4,3.8,4.2,5.6,4.6,7.3
24/05/2016,,4.3,1.9,,3.8,2.1,6.5
30/05/2016,2.2,2.9,2,2.3,3.1,2.4,4.5
05/06/2016,0.8,1.2,0.7,1.1,1.1,1.1,2
11/06/2016,1.4,,1.6,2,2.6,1.9,4.1
17/06/2016,1.8,2.9,1.7,,2.7,1.8,3.5
23/06/2016,1.3,2.2,1.2,1.8,2,1.8,3.6
29/06/2016,0.8,1.6,0.8,0.8,1.3,,2.7
05/07/2016,1,1.4,0.8,1.1,2.3,1.1,2.5
11/07/2016,0.9,1.5,1.2,0.8,2.1,0.5,2.1
17/07/2016,0.8,1.1,0.6,0.7,0.9,0.9,1.7
23/07/2016,0.5,0.9,0.4,0.7,1,0.7,1.5
29/07/2016,1.7,2.3,1.3,1.9,2.2,2.5,2.9
04/08/2016,1,1.4,0.9,0.9,1.4,1.1,2
10/08/2016,1.1,1.9,0.9,1.1,2.7,,3.2
16/08/2016,,1.5,1,0.6,1.3,1,1.3
22/08/2016,1.7,2.1,1.5,1.8,2,1.8,3.6
28/08/2016,0.8,1.2,0.6,0.7,1,1,1.2
03/09/2016,0.9,1.2,0.9,0.7,1.2,1.1,1
09/09/2016,2.3,3.9,1.8,,2.7,2,4.5
15/09/2016,1.2,1.8,1.3,1.2,1.6,1.1,
21/09/2016,1.3,1.5,1.1,0.8,,1.7,1.5
27/09/2016,1.2,,1.2,1,1.8,1.1,1.9
03/10/2016,1.9,2.7,1.3,2.2,2.6,2.1,4.4
09/10/2016,0.3,0.7,0.3,0.3,0.4,,0.5
15/10/2016,1.8,2.6,1.4,1.6,1.9,,3.4
21/10/2016,0.6,0.8,0.7,0.5,,0.4,1
27/10/2016,0.6,0.6,0.8,0.6,,0.6,1.2
02/11/2016,1.9,2,1.2,2.3,2.6,2.3,4
08/11/2016,2,2.7,1.9,1.7,2.4,1.9,3.6
14/11/2016,2.1,2.5,2.2,2,2.9,,4.1
20/11/2016,0.3,0.6,0.4,0.3,0.6,0.6,1.7
26/11/2016,,2.2,1.6,1.7,1.9,2.7,3.4
02/12/2016,3.2,3.9,2.5,3.6,5.5,3.1,6.9
08/12/2016,2.9,4.6,2.2,4.6,4.9,4.1,9.4
14/12/2016,2.8,3.5,2,4.9,3.3,3.7,
20/12/2016,1.2,,1,,1.4,2.5,3.2
26/12/2016,,3.2,1.6,3.2,3.7,2.7,5.3
01/01/2017,,7.1,3.5,17.5,4.6,9,21.8
07/01/2017,3.3,5,1.9,4.5,3.2,4.2,8
13/01/2017,2.7,4.1,1.6,4.1,3.2,4,9.1
19/01/2017,2.3,3.1,1.9,5,4.4,2.8,8.9
25/01/2017,3.1,,2.5,4.7,5.1,2.6,8.3
31/01/2017,3.4,5.1,2.8,4.9,4.7,4.6,12.6
06/02/2017,2.4,2.3,1.6,2.7,2.7,2.9,
12/02/2017,2.4,3.3,1.6,4.9,2.5,3,5.8
18/02/2017,2.3,2.7,,4.1,3.1,2.5,6.3
24/02/2017,2.3,3.3,1.5,3.7,4.4,2.3,6.7
02/03/2017,1.4,2.2,1.4,1.3,1.6,,2.6
08/03/2017,1.6,2.3,1.5,1.2,2.2,2,2.8
14/03/2017,1.3,2.2,1.5,,2,1.4,2.7
20/03/2017,1,1.8,0.6,1.3,2,1.2,2.1
26/03/2017,1.1,1.7,,2,1.5,1.3,3
01/04/2017,1.9,2.4,1.1,1.3,2.1,1.5,3.3
07/04/2017,2.8,5.1,2.9,3.2,4.2,5.5,7.8
13/04/2017,,1.6,1,1.4,1.7,,
19/04/2017,1.7,3.6,1.4,2.7,2.7,3.6,4.9
25/04/2017,2.9,4.3,2.2,3.3,5.6,3.1,7.5
01/05/2017,2.1,3.1,1.5,,3.3,2.2,6.3
07/05/2017,1.1,2.6,1.4,1.9,1.7,1.7,2.9
13/05/2017,1.8,2.3,1.4,1.6,2.3,2.1,4.3
19/05/2017,3,3.1,2.7,2.7,4.4,3.3,6.5
25/05/2017,,2.9,1.9,2.8,3.3,1.7,5.1
31/05/2017,,1.3,1,0.7,1.2,1.2,2.3
06/06/2017,2,3.3,1.9,3.2,3.3,2,5.4
12/06/2017,1.5,2.5,,1.9,1.7,2.1,4.2
18/06/2017,0.8,1.4,0.6,1.1,1.1,1,1.6
24/06/2017,1.2,1.6,1,1.9,1.3,1.4,1.9
30/06/2017,1.5,2.1,1.3,1.4,2.7,1.5,2.8
06/07/2017,0.9,1.9,0.9,1.5,1.5,1.9,3.3
12/07/2017,2.4,4.2,,,4.9,3.3,5
18/07/2017,1.7,2.7,,2.1,2.5,1.9,4.1
24/07/2017,2.3,3,,2.5,2.5,2.7,4.8
30/07/2017,1,1.2,,,1,1.1,1.7
05/08/2017,1.7,2.1,,2.2,2.1,2.1,3.9
11/08/2017,3.3,4,2.5,3.2,2.6,3.6,5.8
17/08/2017,1.9,,1.6,2.4,2.1,1.7,3.7
23/08/2017,1.4,1.7,1.2,1.3,1.6,1.6,2.3
29/08/2017,1.6,1.9,1.5,1.2,1.9,1.7,2.4
04/09/2017,1.3,2.4,1.7,,1.7,1.6,2.8
10/09/2017,0.3,0.4,0.2,,0.5,0.4,0.3
16/09/2017,,2.5,0.8,2.7,1.7,,4.3
22/09/2017,,,,,2.7,,3.4
28/09/2017,,,1.3,0.8,1.2,,1.8
04/10/2017,,,0.9,0.7,1.2,,1
10/10/2017,,,1,1.2,2,1.8,3.1
16/10/2017,,,0.7,0.4,0.9,0.5,0.9
22/10/2017,,1.8,0.6,1.8,1,1.4,2.5
28/10/2017,,2.4,1.6,2,2.7,2.2,3.1
03/11/2017,,2.6,,3.4,1.8,2.4,7.1
09/11/2017,,3.6,2.6,1.8,2.6,3.2,5.4
15/11/2017,,3.1,2,2.8,3.1,2.4,4.7
21/11/2017,,5.6,2.6,5.8,4,3.5,8.1
27/11/2017,,2.4,1.8,2.2,3.1,5.3,4
03/12/2017,,2.9,2.1,2.6,2.7,2.5,4.5
09/12/2017,,2,1.5,1.8,1.6,1.9,3.9
15/12/2017,,5.4,2.4,7,5.2,3.5,15.5
21/12/2017,,8.4,2.8,7,6.2,7.7,11.3
27/12/2017,,4.2,1.7,4.2,2.4,3.5,8.1
