# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11]
50000 200
1 0.0375 0 0 0 0 0 0 0 0 0 0
2 0.1125 0 0 0 0 0 0 0 0 0 0
3 0.1875 0 0 0 0 0 0 0 0 0 0
4 0.2625 0 0 0 0 0 0 0 0 0 0
5 0.3375 0 0 0 0 0 0 0 0 0 0
6 0.4125 0 0 0 0 0 0 0 0 0 0
7 0.4875 0 0 0 0 0 0 0 0 0 0
8 0.5625 0 0 0 0 0 0 0 0 0 0
9 0.6375 0 0 0 0 0 0 0 0 0 0
10 0.7125 0 0 0 0 0 0 0 0 0 0
11 0.7875 0 0 0 0 0 0 0 0 0 0
12 0.8625 0 0 0 0 0 0 0 0 0 0
13 0.9375 0 0 0 0 0 0 0 0 0 0
14 1.0125 0 0 0 0 0 0 0 0 0 0
15 1.0875 0 0 0 0 0 0 0 0 0 0
16 1.1625 0 0 0 0 0 0 0 0 0 0
17 1.2375 0 0 0 0 0 0 0 0 0 0
18 1.3125 0 0 0 0 0 0 0 0 0 0
19 1.3875 0 0 0 0 0 0 0 0 0 0
20 1.4625 0 0 0 0 0 0 0 0 0 0
21 1.5375 0 0 0 0 0 0 0 0 0 0
22 1.6125 0 0 0 0 0 0 0 0 0 0
23 1.6875 0 0 0 0 0 0 0 0 0 0
24 1.7625 0 0 0 0 0 0 0 0 0 0
25 1.8375 0 0 0 0 0 0 0 0 0 0
26 1.9125 0 0 0 0 0 0 0 0 0 0
27 1.9875 0 0 0 0 0 0 0 0 0 0
28 2.0625 0 0 0 0 0 0 0 0 0 0
29 2.1375 0 0 0 0 0 0 0 0 0 0
30 2.2125 0 0 0 0 0 0 0 0 0 0
31 2.2875 0 0 0 0 0 0 0 0 0 0
32 2.3625 0 0 0 0 0 0 0 0 0 0
33 2.4375 0 0 0 0 0 0 0 0 0 0
34 2.5125 0 0 0 0 0 0 0 0 0 0
35 2.5875 0 0 0 0 0 0 0 0 1.80996e-05 6.2751e-07
36 2.6625 0 0 0 0 0 0 0 0 0.00105985 3.95331e-05
37 2.7375 0 0 0 0 0 0 0 0 0.00914931 0.000394578
38 2.8125 0 0 0 0 0 0 0 0 0.0391388 0.00199774
39 2.8875 0 0 0 0 0 0 0 0 0.0828888 0.00557643
40 2.9625 0 0 0 0 0 0 0 0 0.122135 0.011127
41 3.0375 0 0 0 0 0 0 0 0 0.145972 0.018101
42 3.1125 0 0 0.0148261 0.0001875 0 0 0 0 0.15734 0.025994
43 3.1875 0 0 0.157074 0.00227083 0 0 0 0 0.167948 0.0348299
44 3.2625 0 0 0.718566 0.0122552 0.131194 0.000145833 0.00292941 0.000161458 0.176569 0.0445617
45 3.3375 0 0 2.1276 0.0431927 0.676069 0.000932292 0.0645631 0.00388542 0.184323 0.0551934
46 3.4125 0 0 4.27888 0.10824 3.46466 0.00514583 0.178878 0.0146719 0.189647 0.0666293
47 3.4875 0 0 7.71701 0.230766 18.3699 0.0284792 0.244372 0.0300625 0.196022 0.0789748
48 3.5625 0 0 11.7756 0.425859 34.8006 0.0746042 0.370902 0.0544375 0.205054 0.0924506
49 3.6375 0 0 15.5112 0.693776 45.9282 0.138068 0.546343 0.0918698 0.216491 0.107283
50 3.7125 0 0 18.3093 1.0232 50.4526 0.210688 0.680738 0.140453 0.229696 0.123676
51 3.7875 0 0 19.3892 1.38629 80.3061 0.330995 0.794279 0.199453 0.242339 0.141678
52 3.8625 0 0 19.0174 1.75666 108.297 0.499724 0.728068 0.255698 0.25095 0.161064
53 3.9375 0 0 17.7409 2.11571 40.6021 0.565464 0.753666 0.316203 0.258019 0.181778
54 4.0125 0 0 15.9794 2.45156 10.501 0.58312 0.90393 0.391562 0.262108 0.20363
55 4.0875 0.201203 0.00034375 12.1017 2.7155 6.51928 0.594495 1.00429 0.478448 0.265667 0.226614
56 4.1625 0.746675 0.00166667 7.73121 2.89036 5.15526 0.603823 1.13144 0.579958 0.274362 0.251229
57 4.2375 1.72461 0.00483333 6.31633 3.03842 4.77441 0.612776 1.31278 0.702021 0.284213 0.277655
58 4.3125 2.95783 0.0104583 5.8173 3.17965 4.34163 0.621208 1.29353 0.826589 0.287092 0.305302
59 4.3875 2.74644 0.0158646 5.66841 3.32209 4.33178 0.629917 1.33308 0.959469 0.293203 0.334528
60 4.4625 3.03345 0.0220417 5.75818 3.47178 4.87612 0.640057 1.24819 1.08818 0.301431 0.365611
61 4.5375 3.01811 0.0283958 5.70505 3.62511 5.64885 0.652203 1.15143 1.21093 0.305776 0.39821
62 4.6125 2.76275 0.0344063 5.64256 3.78182 6.45121 0.666536 1.08257 1.33019 0.311425 0.432518
63 4.6875 3.38902 0.0420208 5.53226 3.94051 7.60375 0.683984 1.04097 1.44863 0.316713 0.468552
64 4.7625 4.62152 0.0527396 5.49713 4.10327 8.2369 0.703495 1.01673 1.56804 0.323403 0.506535
65 4.8375 4.57945 0.0636979 5.64956 4.27585 8.41611 0.724062 1.06819 1.69748 0.329848 0.546504
66 4.9125 4.9008 0.0757917 5.74885 4.45695 8.70668 0.746005 1.08801 1.83344 0.333324 0.588156
67 4.9875 4.73404 0.0878333 5.85602 4.64711 8.99014 0.769359 1.12828 1.97877 0.33847 0.631753
68 5.0625 4.10195 0.0985833 5.8085 4.84144 8.12638 0.791109 1.10173 2.12497 0.343079 0.677282
69 5.1375 4.51568 0.110771 5.67446 5.03695 7.34099 0.811344 1.10711 2.27628 0.345013 0.724435
70 5.2125 4.55913 0.123438 5.52071 5.23276 7.4635 0.832521 1.08836 2.4294 0.350059 0.773684
71 5.2875 4.00076 0.134875 5.37278 5.42884 7.24257 0.853667 1.06623 2.58376 0.355273 0.825116
72 5.3625 3.80462 0.146063 5.22465 5.62496 7.49927 0.876187 1.0838 2.74514 0.363056 0.879176
73 5.4375 3.16979 0.155646 5.04144 5.81954 6.8738 0.897411 1.08915 2.91188 0.372368 0.936184
74 5.5125 3.12771 0.165365 4.68474 6.00537 6.33845 0.917526 1.08305 3.0823 0.381864 0.99627
75 5.5875 3.82414 0.177573 4.51893 6.18954 5.32437 0.934885 1.03152 3.24905 0.395155 1.06015
76 5.6625 3.55195 0.189219 4.41134 6.37418 4.9494 0.951458 1.01103 3.41691 0.40672 1.12768
77 5.7375 4.63872 0.204833 4.36355 6.56169 4.86781 0.968193 1.01181 3.58938 0.415261 1.19846
78 5.8125 5.26454 0.223021 4.35725 6.75386 4.86701 0.985365 0.985898 3.76185 0.426493 1.27307
79 5.8875 4.61109 0.239365 4.3045 6.94863 4.64883 1.00219 1.01738 3.94446 0.432274 1.35066
80 5.9625 4.98294 0.257479 4.40922 7.15326 4.74305 1.0198 0.995088 4.12764 0.440778 1.4318
81 6.0375 4.36805 0.27376 4.37107 7.36124 4.32493 1.03627 0.981474 4.31289 0.45283 1.51727
82 6.1125 4.62959 0.291448 4.36741 7.57426 3.98986 1.05183 0.925258 4.4919 0.466126 1.60745
