# Time-averaged data for fix myat2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
50000 200
1 0.0375 0 0 0 0 0 0
2 0.1125 0 0 0 0 0 0
3 0.1875 0 0 0 0 0 0
4 0.2625 0 0 0 0 0 0
5 0.3375 0 0 0 0 0 0
6 0.4125 0 0 0 0 0 0
7 0.4875 0 0 0 0 0 0
8 0.5625 0 0 0 0 0 0
9 0.6375 0 0 0 0 0 0
10 0.7125 0 0 0 0 0 0
11 0.7875 0 0 0 0 0 0
12 0.8625 0 0 0 0 0 0
13 0.9375 0 0 0 0 0 0
14 1.0125 0 0 0 0 0 0
15 1.0875 0 0 0 0 0 0
16 1.1625 0 0 0 0 0 0
17 1.2375 0 0 0 0 0 0
18 1.3125 0 0 0 0 0 0
19 1.3875 0 0 0 0 0 0
20 1.4625 0 0 0 0 0 0
21 1.5375 0 0 0 0 0 0
22 1.6125 0 0 0 0 0 0
23 1.6875 0 0 0 0 0 0
24 1.7625 0 0 0 0 0 0
25 1.8375 0 0 0 0 0 0
26 1.9125 0 0 0 0 0 0
27 1.9875 0 0 0 0 0 0
28 2.0625 0 0 0 0 0 0
29 2.1375 0 0 0 0 0 0
30 2.2125 0 0 0 0 0 0
31 2.2875 0 0 0 0 0 0
32 2.3625 0 0 0 0 0 0
33 2.4375 0 0 0 0 0 0
34 2.5125 0 0 0 0 0 0
35 2.5875 0 0 0 0 0 0
36 2.6625 0 0 0 0 0 0
37 2.7375 0 0 0 0 0 0
38 2.8125 0 0 0 0 0 0
39 2.8875 0 0 0 0 0 0
40 2.9625 0 0 0 0 0 0
41 3.0375 0 0 0 0 0 0
42 3.1125 0 0 0.0182532 0.000166667 0.0845053 2.77778e-05
43 3.1875 0 0 0.173318 0.00182639 0.72518 0.000277778
44 3.2625 0 0 0.85628 0.0104167 5.6147 0.00230556
45 3.3375 0 0 3.11218 0.0430903 19.6602 0.00973611
46 3.4125 0 0 6.75796 0.117264 29.7021 0.0214722
47 3.4875 0 0 12.1521 0.256569 44.4245 0.0398056
48 3.5625 0 0 18.9771 0.483569 76.6973 0.0728333
49 3.6375 0 0 26.5466 0.814625 119.152 0.126326
50 3.7125 0 0 32.8028 1.24074 188.204 0.21434
51 3.7875 0.528301 0.00025 36.2748 1.73119 267.357 0.344472
52 3.8625 2.73747 0.00159722 37.8668 2.26365 231.695 0.461757
53 3.9375 8.69009 0.00604167 37.7573 2.81538 78.124 0.502854
54 4.0125 17.5995 0.0153889 32.2187 3.30428 24.5346 0.516257
55 4.0875 17.766 0.0251806 22.2401 3.65449 20.4085 0.527826
56 4.1625 11.664 0.0318472 15.099 3.90106 22.2194 0.540889
57 4.2375 5.74465 0.03525 12.6157 4.11457 22.1351 0.554375
58 4.3125 5.29755 0.0385 11.9715 4.32441 21.57 0.567986
59 4.3875 6.36468 0.0425417 11.8509 4.53942 23.0185 0.583021
60 4.4625 8.26682 0.0479722 11.3527 4.7525 27.6779 0.601722
61 4.5375 8.2003 0.0535417 11.1036 4.96797 32.1783 0.624201
62 4.6125 9.4992 0.0602083 10.7548 5.18362 28.466 0.64475
63 4.6875 10.5965 0.0678889 10.3426 5.39781 22.076 0.661208
64 4.7625 8.48331 0.0742361 10.2693 5.61733 17.3887 0.67459
65 4.8375 7.08882 0.0797083 10.1032 5.84017 16.3202 0.687549
66 4.9125 6.01913 0.0845 10.2508 6.07332 16.2667 0.700868
67 4.9875 5.72099 0.0891944 10.4371 6.31801 17.0976 0.715299
68 5.0625 4.68204 0.0931528 10.5065 6.5718 18.8229 0.731667
69 5.1375 4.5942 0.0971528 10.5129 6.83332 20.9448 0.750424
70 5.2125 3.59515 0.100375 10.509 7.10243 23.322 0.771924
71 5.2875 3.23787 0.103361 10.1611 7.37017 26.4865 0.797049
72 5.3625 4.59744 0.107722 9.39558 7.62482 26.7259 0.823125
73 5.4375 5.59649 0.113181 8.89745 7.87276 25.2115 0.848417
74 5.5125 7.19104 0.120389 8.77411 8.12405 23.8364 0.872993
75 5.5875 11.7464 0.132486 8.70464 8.38018 22.106 0.89641
76 5.6625 12.6716 0.145889 8.25958 8.62978 20.9243 0.919174
77 5.7375 15.9366 0.163194 8.19704 8.8841 20.4616 0.942028
78 5.8125 15.9018 0.180917 7.96724 9.1378 23.3295 0.968771
79 5.8875 19.9814 0.203764 7.98045 9.39851 23.2644 0.996132
80 5.9625 18.0726 0.224958 7.79795 9.6598 23.5349 1.02452
81 6.0375 18.9316 0.247722 7.76713 9.92664 21.5782 1.05121
82 6.1125 20.4983 0.272986 7.65875 10.1963 18.6087 1.0748
83 6.1875 19.0256 0.297014 7.98633 10.4845 13.937 1.0929
84 6.2625 20.3226 0.323306 8.32355 10.7922 9.83727 1.10599
85 6.3375 20.0016 0.349806 8.34914 11.1082 8.41846 1.11747
86 6.4125 20.1918 0.377194 8.4105 11.4342 7.68513 1.12819
87 6.4875 15.5961 0.398847 8.22925 11.7606 9.1084 1.14119
88 6.5625 15.3785 0.420694 7.92794 12.0824 10.4079 1.1564
89 6.6375 16.4569 0.444611 7.53823 12.3954 10.9731 1.17281
90 6.7125 15.7828 0.468069 7.04415 12.6945 11.6741 1.19065
91 6.7875 15.701 0.491931 6.79978 12.9898 12.4038 1.21004
92 6.8625 21.9309 0.526 6.42572 13.275 11.1346 1.22783
93 6.9375 28.0117 0.570472 6.36087 13.5635 10.185 1.24447
94 7.0125 23.9138 0.609264 6.40669 13.8605 10.193 1.26147
95 7.0875 24.1983 0.649361 6.47805 14.1672 9.25318 1.27724
96 7.1625 20.477 0.684014 6.46647 14.4798 9.65885 1.29406
97 7.2375 16.5181 0.712556 6.69044 14.8101 9.74104 1.31137
98 7.3125 14.0314 0.737306 6.73386 15.1495 10.2963 1.33005
99 7.3875 11.9195 0.758764 6.88851 15.5038 10.9659 1.35035
100 7.4625 9.75317 0.776681 6.9201 15.867 11.6102 1.37229
101 7.5375 10.0343 0.795486 6.88345 16.2356 11.193 1.39387
102 7.6125 11.0364 0.816583 6.71047 16.6021 11.0407 1.41558
103 7.6875 11.7412 0.839472 6.64089 16.972 12.312 1.44026
104 7.7625 10.9564 0.86125 6.28513 17.3289 13.6955 1.46826
105 7.8375 11.7622 0.885083 6.00684 17.6767 14.5342 1.49856
106 7.9125 11.4864 0.908806 5.88398 18.0239 13.3577 1.52693
107 7.9875 11.4037 0.932806 5.70655 18.367 12.5081 1.55401
108 8.0625 10.3894 0.955083 5.60541 18.7104 12.7142 1.58205
109 8.1375 10.0271 0.976986 5.55286 19.057 11.5907 1.60809
110 8.2125 11.0496 1.00157 5.47288 19.4049 11.0431 1.63336
111 8.2875 10.0291 1.02429 5.41772 19.7556 9.9442 1.65653
112 8.3625 10.3678 1.04821 5.52117 20.1195 8.79787 1.67741
113 8.4375 10.3322 1.07247 5.39685 20.4816 8.27417 1.6974
114 8.5125 10.8133 1.09832 5.34955 20.8469 8.12901 1.71738
115 8.5875 11.4417 1.12615 5.36493 21.2198 7.64071 1.7365
116 8.6625 11.3061 1.15414 5.31063 21.5954 7.93721 1.75671
117 8.7375 11.0908 1.18207 5.29156 21.9761 8.04013 1.77753
118 8.8125 9.89442 1.20742 5.21829 22.3581 8.21485 1.79918
119 8.8875 10.533 1.23486 5.09197 22.7372 7.94723 1.82048
120 8.9625 10.0482 1.26149 5.08838 23.1224 8.33967 1.84321
121 9.0375 9.43366 1.2869 5.01934 23.5088 9.01374 1.86819
122 9.1125 11.3376 1.31796 4.96581 23.8974 8.91035 1.89329
123 9.1875 11.2032 1.34915 4.87826 24.2855 9.22859 1.91972
124 9.2625 12.4899 1.3845 4.7605 24.6704 9.27299 1.94672
125 9.3375 12.3335 1.41997 4.65306 25.0528 8.51897 1.97192
126 9.4125 9.9611 1.44908 4.61322 25.438 8.31907 1.99692
127 9.4875 9.47213 1.47721 4.62734 25.8305 8.83156 2.0239
128 9.5625 8.26049 1.50213 4.5884 26.226 8.39587 2.04994
129 9.6375 8.02363 1.52671 4.60239 26.6289 9.57685 2.08013
130 9.7125 7.14588 1.54894 4.60977 27.0387 9.24075 2.1097
131 9.7875 6.7423 1.57025 4.60247 27.4542 9.79192 2.14153
132 9.8625 6.93882 1.59251 4.63788 27.8794 9.5615 2.17308
133 9.9375 5.32518 1.60986 4.64595 28.3118 9.41358 2.20463
134 10.0125 6.68208 1.63196 4.57154 28.7438 8.69121 2.23419
135 10.0875 7.55958 1.65733 4.51004 29.1763 8.40758 2.26322
136 10.1625 9.16885 1.68857 4.38272 29.6029 8.02433 2.29133
137 10.2375 8.55693 1.71815 4.2748 30.0252 7.60254 2.31837
138 10.3125 7.93011 1.74597 4.29356 30.4555 7.57511 2.3457
139 10.3875 7.67554 1.77329 4.22168 30.8848 6.90844 2.37099
140 10.4625 6.82738 1.79794 4.1716 31.3152 6.90698 2.39665
141 10.5375 5.11521 1.81668 4.14183 31.7487 6.57676 2.42142
142 10.6125 3.92537 1.83126 4.07165 32.1808 6.32784 2.4456
143 10.6875 4.0216 1.84642 4.00387 32.6119 6.30026 2.47002
144 10.7625 4.06026 1.86193 3.99413 33.0479 6.02193 2.49369
145 10.8375 4.38783 1.87893 4.10221 33.502 6.49476 2.51957
146 10.9125 4.49744 1.8966 4.08821 33.9608 6.1222 2.54431
147 10.9875 5.22096 1.91739 4.12683 34.4304 6.82047 2.57224
148 11.0625 5.56671 1.93986 4.15692 34.9099 7.34712 2.60275
149 11.1375 6.23874 1.96539 4.18054 35.3986 6.9779 2.63212
150 11.2125 7.18037 1.99517 4.151 35.8904 7.09487 2.66238
151 11.2875 7.56775 2.02697 4.20075 36.3949 7.24508 2.6937
152 11.3625 8.58351 2.06353 4.14228 36.8989 7.19414 2.72522
153 11.4375 9.63322 2.1051 4.07332 37.4011 7.25656 2.75742
154 11.5125 8.97441 2.14433 4.02087 37.9034 6.98782 2.78885
155 11.5875 9.97496 2.18851 3.98106 38.4072 6.61413 2.81898
156 11.6625 10.5683 2.23593 3.87049 38.9033 6.64821 2.84966
157 11.7375 9.98141 2.28129 3.81728 39.399 6.24114 2.87883
158 11.8125 9.87619 2.32675 3.78131 39.8963 6.01839 2.90733
159 11.8875 8.78362 2.36769 3.71634 40.3912 5.7993 2.93513
160 11.9625 8.96511 2.41001 3.70026 40.8903 5.73968 2.963
161 12.0375 8.29294 2.44965 3.66945 41.3914 5.2418 2.98877
162 12.1125 8.11881 2.48894 3.62279 41.8923 5.44634 3.01588
163 12.1875 7.36156 2.52501 3.60225 42.3966 5.74329 3.04483
164 12.2625 7.06458 2.56006 3.54294 42.8987 5.43097 3.07253
165 12.3375 6.87383 2.59457 3.52236 43.404 5.72013 3.10208
166 12.4125 7.28839 2.63161 3.46906 43.9078 5.85579 3.13269
167 12.4875 6.86629 2.66693 3.44836 44.4146 5.83291 3.16355
168 12.5625 6.19227 2.69917 3.43359 44.9253 5.89446 3.19511
169 12.6375 6.99163 2.736 3.43489 45.4423 6.02335 3.22775
170 12.7125 6.75045 2.77199 3.42307 45.9637 5.99428 3.26062
171 12.7875 6.1694 2.80526 3.3793 46.4845 5.77648 3.29267
172 12.8625 5.36217 2.83453 3.35581 47.0077 5.75261 3.32496
173 12.9375 4.51031 2.85943 3.35532 47.537 5.31437 3.35514
174 13.0125 4.44852 2.88428 3.34308 48.0705 5.00065 3.38387
175 13.0875 4.54763 2.90997 3.38648 48.6172 5.04029 3.41316
176 13.1625 4.64177 2.9365 3.37011 49.1675 5.51227 3.44556
177 13.2375 4.61575 2.96318 3.3951 49.7282 5.77703 3.47991
178 13.3125 4.86087 2.9916 3.32848 50.2842 5.90153 3.5154
179 13.3875 5.10726 3.02179 3.33984 50.8483 5.6266 3.54961
180 13.4625 6.08431 3.05817 3.28399 51.4093 5.45229 3.58314
181 13.5375 6.5478 3.09775 3.21248 51.9642 5.2502 3.61578
182 13.6125 6.92347 3.14007 3.21396 52.5254 5.47086 3.65018
183 13.6875 6.96467 3.18311 3.18501 53.0878 5.44603 3.6848
184 13.7625 6.28654 3.22239 3.11935 53.6447 5.38143 3.71938
185 13.8375 5.96571 3.26007 3.09867 54.2039 5.57124 3.75558
186 13.9125 5.80802 3.29715 3.08793 54.7672 5.30725 3.79043
187 13.9875 5.24448 3.331 2.9914 55.3188 5.0716 3.8241
188 14.0625 4.89274 3.36292 3.02072 55.8818 5.19256 3.85894
189 14.1375 5.48137 3.39906 3.00889 56.4486 4.8386 3.89175
190 14.2125 5.68631 3.43694 2.99538 57.0188 4.47963 3.92245
191 14.2875 5.82065 3.47614 2.99589 57.5952 4.31742 3.95235
