R,B,tau,T,beta_n
1.1065581e+00,1.8192536e+01,2.3629399e-01,1.0462477e+01,1.9000000e+00
1.0669017e+00,1.8648363e+01,2.2370617e-01,1.0394700e+01,1.9100000e+00
1.0288626e+00,1.9113141e+01,2.1184948e-01,1.0327712e+01,1.9200000e+00
9.9236688e-01,1.9586997e+01,2.0067798e-01,1.0261501e+01,1.9300000e+00
9.5734438e-01,2.0070061e+01,1.9014881e-01,1.0196053e+01,1.9400000e+00
9.2372851e-01,2.0562463e+01,1.8022202e-01,1.0131356e+01,1.9500000e+00
8.9145600e-01,2.1064334e+01,1.7086031e-01,1.0067397e+01,1.9600000e+00
8.6046671e-01,2.1575807e+01,1.6202888e-01,1.0004164e+01,1.9700000e+00
8.3070349e-01,2.2097014e+01,1.5369523e-01,9.9416454e+00,1.9800000e+00
8.0211201e-01,2.2628090e+01,1.4582899e-01,9.8798297e+00,1.9900000e+00
7.7464059e-01,2.3169173e+01,1.3840179e-01,9.8187053e+00,2.0000000e+00
7.4824007e-01,2.3720397e+01,1.3138711e-01,9.7582611e+00,2.0100000e+00
7.2286369e-01,2.4281903e+01,1.2476017e-01,9.6984862e+00,2.0200000e+00
6.9846695e-01,2.4853828e+01,1.1849775e-01,9.6393700e+00,2.0300000e+00
6.7500747e-01,2.5436315e+01,1.1257817e-01,9.5809019e+00,2.0400000e+00
6.5244491e-01,2.6029504e+01,1.0698111e-01,9.5230718e+00,2.0500000e+00
6.3074087e-01,2.6633539e+01,1.0168755e-01,9.4658696e+00,2.0600000e+00
6.0985873e-01,2.7248563e+01,9.6679678e-02,9.4092856e+00,2.0700000e+00
5.8976363e-01,2.7874723e+01,9.1940805e-02,9.3533100e+00,2.0800000e+00
5.7042232e-01,2.8512164e+01,8.7455293e-02,9.2979335e+00,2.0900000e+00
5.5180314e-01,2.9161035e+01,8.3208478e-02,9.2431469e+00,2.1000000e+00
